Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26329,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,"Goleman, Daniel",,"=""055380491X""","=""9780553804911""",0,4.04,Bantam,Hardcover,352,2006,1995,,2023/06/04,to-read,to-read (#55),to-read,,,,0,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",0,4.00,Harvard Business Review Press,Hardcover,240,2005,1994,,2023/06/04,,,read,,,,1,0
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""1591841666""","=""9781591841661""",0,3.80,Portfolio,Hardcover,80,2007,2007,,2023/06/04,,,read,,,,1,0
2210223,Meatball Sundae: Is Your Marketing out of Sync?,Seth Godin,"Godin, Seth",,"=""1591841747""","=""9781591841746""",0,3.72,Portfolio,Hardcover,256,2007,2007,,2023/06/04,,,read,,,,1,0
10284614,The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"Martin, Robert C.",,"=""0137081073""","=""9780137081073""",0,4.27,Pearson,Paperback,210,2011,2011,,2023/06/04,,,read,,,,1,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.39,Pearson,Paperback,464,2008,2007,,2023/06/04,,,read,,,,1,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2023/06/04,,,read,,,,1,0
7088205,Search Patterns: Design for Discovery,Peter Morville,"Morville, Peter",Jeffery Callender,"=""0596802277""","=""9780596802271""",0,3.86,O'Reilly Media,Paperback,192,2010,2010,,2023/06/04,,,read,,,,1,0
58128,Head First Design Patterns,Elisabeth Freeman,"Freeman, Elisabeth","Eric Freeman, Bert Bates, Kathy Sierra, Elisabeth Robson","=""0596007124""","=""9780596007126""",0,4.29,O'Reilly Media,Paperback,638,2004,2004,,2023/06/04,,,read,,,,1,0
179207,Head First Object-Oriented Analysis and Design,Brett McLaughlin,"McLaughlin, Brett","Gary Pollice, David      West","=""0596008678""","=""9780596008673""",0,3.98,O'Reilly Media,Paperback,636,2006,2006,,2023/06/04,,,read,,,,1,0
853961,RESTful Web Services,Leonard Richardson,"Richardson, Leonard","Sam Ruby, David Heinemeier Hansson","=""0596529260""","=""9780596529260""",0,3.85,O'Reilly Media,Paperback,454,2007,2007,,2023/06/04,,,read,,,,1,0
2913418,"As Aventuras de Xisto (Xisto, #1)",Lúcia Machado de Almeida,"Almeida, Lúcia Machado de",,"=""8508031998""","=""9788508031993""",0,3.70,Editora Ática,Paperback,128,1994,1982,,2023/06/04,,,read,,,,1,0
6163301,O Escaravelho do Diabo,Lúcia Machado de Almeida,"Almeida, Lúcia Machado de",Mário Cafiero,"=""8508001037""","=""9788508001033""",0,3.87,Editora Ática,Paperback,128,1999,1953,,2023/06/04,,,read,,,,1,0
36267844,Certificação LPI-1 101 102,Luciano Antonio Siqueira,"Siqueira, Luciano Antonio",,"=""8576089491""","=""9788576089490""",0,4.00,Alta Books,Paperback,247,2015,,,2023/06/04,,,read,,,,1,0
49713332,Certificação LPI 2 201-202,Luciano Antonio Siqueira,"Siqueira, Luciano Antonio",,"=""8550802204""","=""9788550802206""",0,5.00,Alta Books,Paperback,304,2018,,,2023/06/04,,,read,,,,1,0
848696,PHP Bible,Tim Converse,"Converse, Tim",Joyce Park,"=""0764549553""","=""9780764549557""",0,3.62,Wiley,Paperback,1032,2002,2002,,2023/06/04,,,read,,,,1,0
34861217,O milagre da manhã,Hal Elrod,"Elrod, Hal",,"=""""","=""9788546500093""",0,3.91,Editora Best Seller,eBook Kindle,246,2016,2012,,2023/06/04,to-read,to-read (#54),to-read,,,,0,0
16047610,Renato Russo de A a Z: as idéias do líder da Legião Urbana,Simone Assad,"Assad, Simone",Renato Russo,"=""8586399086""","=""9788586399084""",0,3.75,Letra Livre,Paperback,305,2000,2013,,2023/06/03,,,read,,,,1,0
